Location	Category	Sub Category	Brand	Offer	Start Date	End Date
Allahabad	Health & Wellness	Clinic	Dr.Chauhan Eye Center	10% on billing of 200 and above	"September 20, 2013"	"August 31, 2014"
Lucknow	Retail	Apparels	Bhagwat Das And Sons	20% on total bill	"September 11, 2013"	"August 31, 2014"
Varanasi	Travel	Travel	World Tourism Center	No taxes on travel services	"September 21, 2013"	"August 31, 2014"
Lucknow	Hotels	Sweets and restaurant	Bikanervala C/o Buddha India Hotels Pvt. Ltd.	"10% off on total food bill, 5% off on total sweet bill"	"October 1, 2013"	"August 31, 2014"
Lucknow	Hotels	Bakery	J.J Bakers & Confectioners	10% on value above Rs. 200.00 and 5% cakes and snacks on above Rs.200.00	"October 1, 2013"	"August 31, 2014"
Lucknow	Retail	Apparels	Imperial Chikan	20% discount on total bill value	"September 27, 2013"	"August 31, 2014"
Lucknow	Hotels	Bakery	Walnut Food Products	10% off on the bill value 500	"September 11, 2013"	"August 31, 2014"
Lucknow	Hotels	Restaurant	Cappuccino Blast	10% discount on total bill value	"September 21, 2013"	"August 31, 2014"
Lucknow	Retail	Apparels	Manav Associates	On purchase of Rs. 5000  5% and above get 10% off	"September 29, 2013"	"August 31, 2014"
Varanasi	Retail	Apparels	Fashion Point	"5% off on the total bill up to 5000,10% off on above 5000"	"September 29, 2013"	"August 31, 2014"
Lucknow	Hotels	Hotel	Levana (Best Western Plus)	40% off on bill	"September 29, 2013"	"August 31, 2014"
Lucknow	Hotels	Fine dine	Atrium	20% discount	"September 29, 2013"	"August 31, 2014"
Lucknow	Hotels	Fine dine	Peeli Kothi	20% discount	"September 29, 2013"	"August 31, 2014"
Rudrapur	Hotels	Lounge	Radisson Hotel	15% discount at bill	"September 28, 2013"	"August 31, 2014"
Noida	Health & Wellness	Spa	Revital Mantra	Discount on billing up to rs.1000 - 10% off on total bill value Between Rs.1000 to Rs.5000- 15% off on total bill value Above Rs. 5000 - 20% on total bill value	"October 1, 2013"	"September 30, 2014"
Noida	Health & Wellness	Spa	 I Wellness Spa & Salon	Flat 25% off on total bill value	"October 1, 2013"	"September 30, 2014"
Noida	Health & Wellness	Spa	 The  Leisure  Spa	Flat 20% off on total bill value	"October 1, 2013"	"September 30, 2014"
Noida	Health & Wellness	Spa	Sushanto  Le  Spa  Deluxe	Flat 20% off on total bill value	"October 1, 2013"	"September 30, 2014"
